GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
im-sdk-core,com.easemob.im.server.exception,EMUnknownException,0,4,0,0,0,2,0,1,0,1
im-sdk-core,com.easemob.im.server.exception,EMServiceUnavailableException,4,0,0,0,2,0,1,0,1,0
im-sdk-core,com.easemob.im.server.exception,EMFileSystemException,4,0,0,0,2,0,1,0,1,0
im-sdk-core,com.easemob.im.server.exception,EMNotFoundException,0,4,0,0,0,2,0,1,0,1
im-sdk-core,com.easemob.im.server.exception,EMInternalServerErrorException,0,4,0,0,0,2,0,1,0,1
im-sdk-core,com.easemob.im.server.api.block.user,UnblockUsersSendMsgToUserRequest,9,0,0,0,4,0,2,0,2,0
im-sdk-core,com.easemob.im.server.api.block.user,GetUsersBlockedSendMsgToUserResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.block.user,BlockUsersSendMsgToUserRequest,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.block.user,SendMsgToUser,6,154,1,1,1,21,1,13,0,13
im-sdk-core,com.easemob.im.server.api.group.member.remove,GroupMemberRemove,0,47,0,0,0,8,0,5,0,5
im-sdk-core,com.easemob.im.server.api.sms.send,SendSmsResponse,22,12,0,0,2,5,2,2,2,2
im-sdk-core,com.easemob.im.server.api.sms.send,SendSms,0,80,0,0,0,11,0,7,0,7
im-sdk-core,com.easemob.im.server.api.sms.send,SendSmsRequest,0,33,0,0,0,12,0,6,0,6
im-sdk-core,com.easemob.im.server.api.util,FileSystem,97,0,6,0,25,0,7,0,4,0
im-sdk-core,com.easemob.im.server.api.util,Sensitive,5,0,0,0,1,0,1,0,1,0
im-sdk-core,com.easemob.im.server.api.room.delete,DeleteRoomResponse.Wrapper,3,12,0,0,1,5,1,2,1,2
im-sdk-core,com.easemob.im.server.api.room.delete,DeleteRoomResponse,1,16,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.room.delete,DeleteRoom,7,57,1,1,2,12,1,6,0,6
im-sdk-core,com.easemob.im.server.api.attachment,AttachmentApi,31,0,0,0,7,0,3,0,3,0
im-sdk-core,com.easemob.im.server.model,EMTextMessage,58,12,8,0,7,5,7,3,3,3
im-sdk-core,com.easemob.im.server.model,EMFileMessage,68,0,0,0,15,0,10,0,10,0
im-sdk-core,com.easemob.im.server.model,EMEntity.EntityType,0,44,0,0,0,5,0,1,0,1
im-sdk-core,com.easemob.im.server.model,EMMetadata,12,6,0,0,1,3,1,1,1,1
im-sdk-core,com.easemob.im.server.model,EMVideoMessage,76,36,0,0,11,13,6,10,6,10
im-sdk-core,com.easemob.im.server.model,EMSentMessageIds,3,6,0,0,1,3,1,1,1,1
im-sdk-core,com.easemob.im.server.model,EMLocationMessage,96,28,14,0,7,11,10,7,3,7
im-sdk-core,com.easemob.im.server.model,EMVoiceMessage,52,30,0,0,7,11,4,8,4,8
im-sdk-core,com.easemob.im.server.model,EMRoom,3,35,0,0,1,12,1,5,1,5
im-sdk-core,com.easemob.im.server.model,EMCommandMessage,168,32,23,1,29,10,21,5,9,5
im-sdk-core,com.easemob.im.server.model,EMNotificationUserSetting,21,0,0,0,8,0,4,0,4,0
im-sdk-core,com.easemob.im.server.model,EMMessage.MessageType,0,84,0,0,0,9,0,1,0,1
im-sdk-core,com.easemob.im.server.model,EMEntity,77,14,10,0,10,6,12,3,7,3
im-sdk-core,com.easemob.im.server.model,EMPage,0,15,0,0,0,6,0,3,0,3
im-sdk-core,com.easemob.im.server.model,EMMessage,89,10,12,0,16,4,14,2,8,2
im-sdk-core,com.easemob.im.server.model,EMNotificationNoDisturbing,34,21,0,0,7,8,4,4,4,4
im-sdk-core,com.easemob.im.server.model,EMGroup,0,53,0,0,0,18,0,9,0,9
im-sdk-core,com.easemob.im.server.model,EMKeyValue,149,42,16,0,27,11,20,7,12,7
im-sdk-core,com.easemob.im.server.model,EMUser,51,90,4,12,9,18,6,11,4,5
im-sdk-core,com.easemob.im.server.model,EMBlock,26,55,4,6,2,10,6,5,2,4
im-sdk-core,com.easemob.im.server.model,EMKeyValue.Type,0,84,0,0,0,9,0,1,0,1
im-sdk-core,com.easemob.im.server.model,EMAttachment,110,0,10,0,19,0,13,0,8,0
im-sdk-core,com.easemob.im.server.model,EMCustomMessage,194,32,29,1,36,10,25,5,10,5
im-sdk-core,com.easemob.im.server.model,EMImageMessage,56,40,0,0,7,14,4,10,4,10
im-sdk-core,com.easemob.im.server.api.user.get,UserGet,14,62,1,1,2,13,1,6,0,6
im-sdk-core,com.easemob.im.server.api.user.get,UserGetResponse,18,27,0,0,3,7,3,3,3,3
im-sdk-core,com.easemob.im.server.api.room.admin.promote,PromoteRoomAdminResponse,1,18,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.room.admin.promote,PromoteRoomAdmin,7,74,1,1,2,13,1,7,0,7
im-sdk-core,com.easemob.im.server.api.room.admin.promote,PromoteRoomAdminRequest,0,6,0,0,0,3,0,1,0,1
im-sdk-core,com.easemob.im.server.api.room.admin.promote,PromoteRoomAdminResponse.Wrapper,0,12,0,0,0,5,0,2,0,2
im-sdk-core,com.easemob.im.server.api.room.update,UpdateRoomRequest,19,41,1,5,7,12,3,8,2,6
im-sdk-core,com.easemob.im.server.api.room.update,UpdateRoomResponse.Wrapper,3,18,0,0,1,7,1,3,1,3
im-sdk-core,com.easemob.im.server.api.room.update,UpdateRoomResponse,16,29,8,4,1,5,7,3,1,3
im-sdk-core,com.easemob.im.server.api.room.update,UpdateRoom,11,118,5,9,2,22,4,10,0,7
im-sdk-core,com.easemob.im.server.api.group.admin,GroupAdminAdd,41,18,0,0,3,6,4,2,4,2
im-sdk-core,com.easemob.im.server.api.group.admin,GroupAdminAddRequest,6,0,0,0,3,0,1,0,1,0
im-sdk-core,com.easemob.im.server.api.group.admin,GroupAdminListResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.group.admin,GroupAdminRemove,42,0,0,0,7,0,4,0,4,0
im-sdk-core,com.easemob.im.server.api.group.admin,GroupAdminList,0,51,0,0,0,9,0,5,0,5
im-sdk-core,com.easemob.im.server.api.notification.nodisturbing.get,GetNoDisturbingResponse,0,12,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.notification.nodisturbing.get,GetNoDisturbing,26,70,4,4,5,16,4,6,0,6
im-sdk-core,com.easemob.im.server.api.metadata,MetadataApi,47,0,0,0,10,0,5,0,5,0
im-sdk-core,com.easemob.im.server.api.room.superadmin.list,ListRoomSuperAdminsResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.room.superadmin.list,ListRoomSuperAdmins,0,98,0,2,0,16,0,9,0,8
im-sdk-core,com.easemob.im.server.api.block.group.msg,BlockUserSendMsgToGroupResponse.BlockUsersResource,0,15,0,0,0,6,0,3,0,3
im-sdk-core,com.easemob.im.server.api.block.group.msg,BlockUserSendMsgToGroupRequest,0,28,0,2,0,7,0,3,0,2
im-sdk-core,com.easemob.im.server.api.block.group.msg,GetUsersBlockedSendMsgToGroupResponse.UserBlockedSendMsgToGroupResource,0,18,0,0,0,5,0,2,0,2
im-sdk-core,com.easemob.im.server.api.block.group.msg,UnblockUserSendMsgToGroupResponse.UnblockUsersResource,0,15,0,0,0,6,0,3,0,3
im-sdk-core,com.easemob.im.server.api.block.group.msg,BlockUserSendMsgToGroupResponse,0,26,0,0,0,7,0,3,0,3
im-sdk-core,com.easemob.im.server.api.block.group.msg,GetUsersBlockedSendMsgToGroupResponse,0,15,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.block.group.msg,UnblockUserSendMsgToGroupResponse,0,26,0,0,0,7,0,3,0,3
im-sdk-core,com.easemob.im.server.api.block.group.msg,BlockUserSendMsgToGroup,0,194,0,4,0,32,0,18,0,16
im-sdk-core,com.easemob.im.server.api.room.list,ListRoomsResponse.Room,9,18,0,0,3,7,3,2,3,2
im-sdk-core,com.easemob.im.server.api.room.list,ListRooms,0,141,0,4,0,22,0,13,0,11
im-sdk-core,com.easemob.im.server.api.room.list,ListRoomsResponse,3,31,0,0,1,6,1,3,1,3
im-sdk-core,com.easemob.im.server.api.group.settings,UpdateGroupResponse.GroupUpdateResource,6,15,0,0,2,6,2,2,2,2
im-sdk-core,com.easemob.im.server.api.group.settings,UpdateGroupRequest,33,43,0,0,13,16,4,8,4,8
im-sdk-core,com.easemob.im.server.api.group.settings,UpdateGroupOwnerRequest,0,6,0,0,0,3,0,1,0,1
im-sdk-core,com.easemob.im.server.api.group.settings,UpdateGroup,24,144,12,6,2,22,8,12,0,11
im-sdk-core,com.easemob.im.server.api.group.settings,UpdateGroupResponse,8,10,0,0,2,4,2,2,2,2
im-sdk-core,com.easemob.im.server.api.block.room.msg.unblock,UnblockUserSendMsgToRoomResponse.Result,3,12,0,0,1,5,1,2,1,2
im-sdk-core,com.easemob.im.server.api.block.room.msg.unblock,UnblockUserSendMsgToRoom,0,71,0,2,0,14,0,7,0,6
im-sdk-core,com.easemob.im.server.api.block.room.msg.unblock,UnblockUserSendMsgToRoomResponse,0,30,0,0,0,5,0,4,0,4
im-sdk-core,com.easemob.im.server.api.group.delete,DeleteGroup,0,42,0,0,0,10,0,5,0,5
im-sdk-core,com.easemob.im.server.api.message.history,MessageHistory,92,99,4,0,17,16,10,6,8,6
im-sdk-core,com.easemob.im.server.api.message.history,MessageHistoryResponse.MessageHistory,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.message.history,MessageHistoryResponse,2,20,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.metadata.user.delete,MetadataDeleteResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.metadata.user.delete,MetadataDelete,0,51,0,0,0,9,0,5,0,5
im-sdk-core,com.easemob.im.server.api.metadata.user.delete,MetadataDeleteUserResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.metadata.user.delete,MetadataDeleteUser,0,51,0,0,0,9,0,5,0,5
im-sdk-core,com.easemob.im.server.api.user.password,UserPasswordResetRequest,0,11,0,0,0,5,0,2,0,2
im-sdk-core,com.easemob.im.server.api.user.password,UpdateUserPassword,0,55,0,0,0,10,0,5,0,5
im-sdk-core,com.easemob.im.server.api.contact,ContactApi,26,0,0,0,6,0,4,0,4,0
